zip_code,estimate_total
20001,44998
20002,59659
20003,29071
20004,1708
20005,13063
20006,2920
20007,26415
20008,28261
20009,51508
20010,32421
20011,67349
20012,14457
20015,16323
20016,35192
20017,20371
20018,20363
20019,57962
20020,54955
20024,12183
20032,41232
20036,5655
20037,15285
20045,0
20052,431
20053,0
20057,3697
20064,2125
20105,16265
20106,5334
20109,38360
20110,47975
20111,34433
20112,26914
20115,6485
20117,2507
20118,6
20119,4383
20120,40581
20121,29695
20124,15318
20129,616
20130,123
20132,17455
20135,2940
20136,30539
20137,1410
20139,250
20141,6375
20143,1211
20144,1205
20147,62907
20148,42883
20151,22746
20152,30697
20155,34202
20158,4347
20164,40370
20165,33813
20166,9961
20169,22800
20170,42731
20171,49367
20175,31887
20176,51588
20180,6985
20181,8630
20184,635
20186,14459
20187,16886
20190,18759
20191,29666
20194,13020
20197,1830
20198,2345
20202,0
20204,0
20228,0
20230,0
20240,0
20245,0
20260,0
20307,217
20317,460
20319,69
20373,119
20390,540
20405,0
20418,0
20427,0
20506,0
20510,0
20520,0
20535,0
20540,0
20551,0
20553,0
20560,0
20565,0
20566,0
20593,0
20601,26029
20602,26393
20603,31304
20607,10350
20608,793
20611,1452
20612,480
20613,14261
20615,456
20616,6100
20617,719
20623,3162
20625,828
20629,312
20632,384
20637,5164
20639,15238
20640,10658
20645,1029
20646,20118
20657,18959
20658,1054
20662,3127
20664,2931
20675,1766
20676,4234
20677,2177
20678,12452
20685,6423
20688,1864
20689,1919
20693,1054
20695,6851
20705,28139
20706,38938
20707,32344
20708,26315
20710,9817
20712,9200
20714,4772
20715,26193
20716,22152
20720,22436
20721,28901
20722,5918
20732,9957
20735,38562
20736,9512
20737,21922
20740,31515
20742,6615
20743,39108
20744,52730
20745,29512
20746,27322
20747,37752
20748,39204
20754,6757
20762,3336
20769,6972
20770,25839
20772,45653
20774,44154
20781,11379
20782,34919
20783,46980
20784,30373
20785,37061
20812,334
20814,28828
20815,30269
20816,16341
20817,36856
20818,1783
20832,26443
20833,7471
20837,6262
20838,283
20839,58
20841,11069
20842,1681
20850,48303
20851,14972
20852,46784
20853,30286
20854,49926
20855,14871
20860,2741
20861,1852
20862,268
20866,14582
20868,827
20871,18388
20872,13248
20874,60306
20876,26695
20877,38149
20878,64356
20879,26259
20880,487
20882,13921
20886,34266
20895,19437
20896,981
20899,133
20901,36319
20902,52461
20903,25114
20904,56874
20905,18071
20906,69112
20910,41305
20912,26221
21701,36588
21702,39781
21703,34666
21704,15764
21705,13
21710,4784
21714,201
21716,5090
21717,36
21718,147
21727,6756
21754,6025
21755,5672
21758,4705
21762,301
21769,11476
21770,5187
21771,29220
21773,5478
21774,12909
21777,1616
21778,1220
21780,1552
21788,11827
21790,53
21793,10250
21798,2106
22003,60039
22015,44918
22025,16774
22026,15584
22027,2310
22030,58759
22031,31890
22032,30392
22033,39524
22035,0
22039,17839
22041,28872
22042,34124
22043,25792
22044,13330
22046,17941
22060,10099
22066,18419
22079,34496
22101,30238
22102,25149
22124,18607
22125,725
22134,8297
22150,26853
22151,17627
22152,29331
22153,31141
22172,9717
22180,24557
22181,15586
22182,26196
22185,0
22191,67276
22192,57513
22193,82290
22201,36166
22202,23379
22203,22932
22204,54046
22205,19195
22206,20677
22207,33191
22209,12392
22211,1021
22213,3575
22214,0
22301,12156
22302,18818
22303,14499
22304,47576
22305,17965
22306,34271
22307,10126
22308,13453
22309,34882
22310,30889
22311,18035
22312,33915
22314,31442
22315,28173
22401,27853
22405,30230
22406,24405
22407,57950
22408,28396
22448,554
22485,24726
22534,3559
22551,19652
22553,14656
22554,54986
22556,27931
22610,1797
22611,8654
22620,2630
22630,32167
22639,467
22642,4390
22643,91
22645,4130
22646,173
22663,1377
22701,33717
22712,8789
22713,1588
22714,926
22718,729
22720,1074
22724,2252
22726,600
22728,3074
22729,1055
22733,1977
22734,3405
22735,3123
22736,834
22737,2897
22741,151
22742,2074
25401,13934
25403,13432
25404,22602
25405,13363
25413,8346
25414,17562
25419,10198
25420,3685
25425,13160
25427,12812
25428,12558
25430,8228
25432,112
25438,6741
25442,1748
25443,7439
25446,1840
